id_country,id_language,native_common,native_official
JAM,eng,Jamaica,Jamaica
JAM,jam,Jamaica,Jamaica
COM,ara,القمر‎,الاتحاد القمري
COM,fra,Comores,Union des Comores
COM,zdj,Komori,Udzima wa Komori
ZWE,bwg,Zimbabwe,Republic of Zimbabwe
ZWE,eng,Zimbabwe,Republic of Zimbabwe
ZWE,kck,Zimbabwe,Republic of Zimbabwe
ZWE,khi,Zimbabwe,Republic of Zimbabwe
ZWE,ndc,Zimbabwe,Republic of Zimbabwe
ZWE,nde,Zimbabwe,Republic of Zimbabwe
ZWE,nya,Zimbabwe,Republic of Zimbabwe
ZWE,sna,Zimbabwe,Republic of Zimbabwe
ZWE,sot,Zimbabwe,Republic of Zimbabwe
ZWE,toi,Zimbabwe,Republic of Zimbabwe
ZWE,tsn,Zimbabwe,Republic of Zimbabwe
ZWE,tso,Zimbabwe,Republic of Zimbabwe
ZWE,ven,Zimbabwe,Republic of Zimbabwe
ZWE,xho,Zimbabwe,Republic of Zimbabwe
ZWE,zib,Zimbabwe,Republic of Zimbabwe
SXM,eng,Sint Maarten,Sint Maarten
SXM,fra,Saint-Martin,Saint-Martin
SXM,nld,Sint Maarten,Sint Maarten
LAO,lao,ສປປລາວ,ສາທາລະນະ ຊາທິປະໄຕ ຄົນລາວ ຂອງ
LVA,lav,Latvija,Latvijas Republikas
TJK,rus,Таджикистан,Республика Таджикистан
TJK,tgk,Тоҷикистон,Ҷумҳурии Тоҷикистон
GBR,eng,United Kingdom,United Kingdom of Great Britain and Northern Ireland
NIC,spa,Nicaragua,República de Nicaragua
SDN,ara,السودان,جمهورية السودان
SDN,eng,Sudan,Republic of the Sudan
GRC,ell,Ελλάδα,Ελληνική Δημοκρατία
LTU,lit,Lietuva,Lietuvos Respublikos
RWA,eng,Rwanda,Republic of Rwanda
RWA,fra,Rwanda,République rwandaise
RWA,kin,Rwanda,Repubulika y'u Rwanda
SEN,fra,Sénégal,République du Sénégal
MCO,fra,Monaco,Principauté de Monaco
LSO,eng,Lesotho,Kingdom of Lesotho
LSO,sot,Lesotho,Kingdom of Lesotho
TUN,ara,تونس,الجمهورية التونسية
VUT,bis,Vanuatu,Ripablik blong Vanuatu
VUT,eng,Vanuatu,Republic of Vanuatu
VUT,fra,Vanuatu,République de Vanuatu
ECU,spa,Ecuador,República del Ecuador
KWT,ara,الكويت,دولة الكويت
PHL,eng,Philippines,Republic of the Philippines
PHL,fil,Pilipinas,Republic of the Philippines
CHL,spa,Chile,República de Chile
BHS,eng,Bahamas,Commonwealth of the Bahamas
TZA,eng,Tanzania,United Republic of Tanzania
TZA,swa,Tanzania,Jamhuri ya Muungano wa Tanzania
CRI,spa,Costa Rica,República de Costa Rica
MAR,ara,المغرب,المملكة المغربية
MAR,ber,ⵍⵎⴰⵖⵔⵉⴱ,ⵜⴰⴳⵍⴷⵉⵜ ⵏ ⵍⵎⵖⵔⵉⴱ
MNE,cnr,Црна Гора,Црна Гора
FSM,eng,Micronesia,Federated States of Micronesia
PRT,por,Portugal,República Portuguesa
ARE,ara,دولة الإمارات العربية المتحدة,الإمارات العربية المتحدة
LBY,ara,‏ليبيا,الدولة ليبيا
LUX,deu,Luxemburg,Großherzogtum Luxemburg
LUX,fra,Luxembourg,Grand-Duché de Luxembourg
LUX,ltz,Lëtzebuerg,Groussherzogtum Lëtzebuerg
JEY,eng,Jersey,Bailiwick of Jersey
JEY,fra,Jersey,Bailliage de Jersey
JEY,nrf,Jèrri,Bailliage dé Jèrri
SLB,eng,Solomon Islands,Solomon Islands
DZA,ara,الجزائر,الجمهورية الديمقراطية الشعبية الجزائرية
ATG,eng,Antigua and Barbuda,Antigua and Barbuda
SHN,eng,"Saint Helena, Ascension and Tristan da Cunha","Saint Helena, Ascension and Tristan da Cunha"
BRA,por,Brasil,República Federativa do Brasil
SGS,eng,South Georgia,South Georgia and the South Sandwich Islands
MLI,fra,Mali,République du Mali
PAK,eng,Pakistan,Islamic Republic of Pakistan
PAK,urd,پاكستان,اسلامی جمہوریۂ پاكستان
TTO,eng,Trinidad and Tobago,Republic of Trinidad and Tobago
ARM,hye,Հայաստան,Հայաստանի Հանրապետություն
BGD,ben,বাংলাদেশ,বাংলাদেশ গণপ্রজাতন্ত্রী
TCA,eng,Turks and Caicos Islands,Turks and Caicos Islands
TKM,rus,Туркмения,Туркменистан
TKM,tuk,Türkmenistan,Türkmenistan
FRO,dan,Færøerne,Færøerne
FRO,fao,Føroyar,Føroyar
PLW,eng,Palau,Republic of Palau
PLW,pau,Belau,Beluu er a Belau
CUB,spa,Cuba,República de Cuba
TCD,ara,تشاد‎,جمهورية تشاد
TCD,fra,Tchad,République du Tchad
BIH,bos,Bosna i Hercegovina,Bosna i Hercegovina
BIH,hrv,Bosna i Hercegovina,Bosna i Hercegovina
BIH,srp,Босна и Херцеговина,Босна и Херцеговина
BWA,eng,Botswana,Republic of Botswana
BWA,tsn,Botswana,Lefatshe la Botswana
EST,est,Eesti,Eesti Vabariik
IOT,eng,British Indian Ocean Territory,British Indian Ocean Territory
ATF,fra,Terres australes et antarctiques françaises,Territoire des Terres australes et antarctiques françaises
GRL,kal,Kalaallit Nunaat,Kalaallit Nunaat
CXR,eng,Christmas Island,Territory of Christmas Island
PCN,eng,Pitcairn Islands,Pitcairn Group of Islands
ESH,ber,Western Sahara,Sahrawi Arab Democratic Republic
ESH,mey,الصحراء الغربية,الجمهورية العربية الصحراوية الديمقراطية
ESH,spa,Sahara Occidental,República Árabe Saharaui Democrática
MSR,eng,Montserrat,Montserrat
BHR,ara,‏البحرين,مملكة البحرين
DOM,spa,República Dominicana,República Dominicana
USA,eng,United States,United States of America
COK,eng,Cook Islands,Cook Islands
COK,rar,Kūki 'Āirani,Kūki 'Āirani
COL,spa,Colombia,República de Colombia
GIN,fra,Guinée,République de Guinée
IRL,eng,Ireland,Republic of Ireland
IRL,gle,Éire,Poblacht na hÉireann
MDV,div,ދިވެހިރާއްޖޭގެ,ދިވެހިރާއްޖޭގެ ޖުމްހޫރިއްޔާ
PAN,spa,Panamá,República de Panamá
MOZ,por,Moçambique,República de Moçambique
OMN,ara,عمان,سلطنة عمان
CZE,ces,Česko,Česká republika
CZE,slk,Česko,Česká republika
HMD,eng,Heard Island and McDonald Islands,Heard Island and McDonald Islands
VCT,eng,Saint Vincent and the Grenadines,Saint Vincent and the Grenadines
HTI,fra,Haïti,République d'Haïti
HTI,hat,Ayiti,Repiblik Ayiti
NGA,eng,Nigeria,Federal Republic of Nigeria
VGB,eng,British Virgin Islands,Virgin Islands
NAM,afr,Namibië,Republiek van Namibië
NAM,deu,Namibia,Republik Namibia
NAM,eng,Namibia,Republic of Namibia
NAM,her,Namibia,Republic of Namibia
NAM,hgm,Namibia,Republic of Namibia
NAM,kwn,Namibia,Republic of Namibia
NAM,loz,Namibia,Republic of Namibia
NAM,ndo,Namibia,Republic of Namibia
NAM,tsn,Namibia,Lefatshe la Namibia
DMA,eng,Dominica,Commonwealth of Dominica
CAN,eng,Canada,Canada
CAN,fra,Canada,Canada
GGY,eng,Guernsey,Bailiwick of Guernsey
GGY,fra,Guernesey,Bailliage de Guernesey
GGY,nfr,Dgèrnésiais,Dgèrnésiais
NER,fra,Niger,République du Niger
IDN,ind,Indonesia,Republik Indonesia
YEM,ara,اليَمَن,الجمهورية اليمنية
PSE,ara,فلسطين,دولة فلسطين
GAB,fra,Gabon,République gabonaise
ERI,ara,إرتريا‎,دولة إرتريا
ERI,eng,Eritrea,State of Eritrea
ERI,tir,ኤርትራ,ሃገረ ኤርትራ
CYP,ell,Κύπρος,Δημοκρατία της Κύπρος
CYP,tur,Kıbrıs,Kıbrıs Cumhuriyeti
HKG,eng,Hong Kong,Hong Kong Special Administrative Region of the People's Republic of China
HKG,zho,香港,中华人民共和国香港特别行政区
BVT,nor,Bouvetøya,Bouvetøya
SVK,slk,Slovensko,Slovenská republika
SVN,slv,Slovenija,Republika Slovenija
NIU,eng,Niue,Niue
NIU,niu,Niuē,Niuē
KIR,eng,Kiribati,Independent and Sovereign Republic of Kiribati
KIR,gil,Kiribati,Ribaberiki Kiribati
DEU,deu,Deutschland,Bundesrepublik Deutschland
UNK,sqi,Kosova,Republika e Kosovës
UNK,srp,Косово,Република Косово
CIV,fra,Côte d'Ivoire,République de Côte d'Ivoire
LKA,sin,ශ්‍රී ලංකාව,ශ්‍රී ලංකා ප්‍රජාතාන්ත්‍රික සමාජවාදී ජනරජය
LKA,tam,இலங்கை,இலங்கை சனநாயக சோசலிசக் குடியரசு
MAF,fra,Saint-Martin,Saint-Martin
BEL,deu,Belgien,Königreich Belgien
BEL,fra,Belgique,Royaume de Belgique
BEL,nld,België,Koninkrijk België
