cca3,flag,flag_png,flag_svg,flag_alt,coa_png,coa_svg
JAM,🇯🇲,https://flagcdn.com/w320/jm.png,https://flagcdn.com/jm.svg,"The flag of Jamaica is divided by a gold diagonal cross into four alternating triangular areas of green at the top and bottom, and black on the hoist and fly sides",https://mainfacts.com/media/images/coats_of_arms/jm.png,https://mainfacts.com/media/images/coats_of_arms/jm.svg
COM,🇰🇲,https://flagcdn.com/w320/km.png,https://flagcdn.com/km.svg,"The flag of Comoros is composed of four equal horizontal bands of yellow, white, red and blue, with a green isosceles triangle superimposed on the hoist side of the field. This triangle has its base on the hoist end, spans about two-fifth the width of the field and bears a fly-side facing white crescent and four five-pointed white stars arranged in a vertical line along the opening of the crescent.",https://mainfacts.com/media/images/coats_of_arms/km.png,https://mainfacts.com/media/images/coats_of_arms/km.svg
ZWE,🇿🇼,https://flagcdn.com/w320/zw.png,https://flagcdn.com/zw.svg,"The flag of Zimbabwe is composed of seven equal horizontal bands of green, yellow, red, black, red, yellow and green, with a white isosceles triangle superimposed on the hoist side of the field. This triangle is edged in black, spans about one-fourth the width of the field and has its base on the hoist end. A yellow Zimbabwe bird superimposed on a five-pointed red star is centered in the triangle.",https://mainfacts.com/media/images/coats_of_arms/zw.png,https://mainfacts.com/media/images/coats_of_arms/zw.svg
SXM,🇸🇽,https://flagcdn.com/w320/sx.png,https://flagcdn.com/sx.svg,,,
LAO,🇱🇦,https://flagcdn.com/w320/la.png,https://flagcdn.com/la.svg,"The flag of Laos is composed of three horizontal bands of red, blue and red. The blue band is twice the height of the red bands and bears a white circle at its center.",https://mainfacts.com/media/images/coats_of_arms/la.png,https://mainfacts.com/media/images/coats_of_arms/la.svg
LVA,🇱🇻,https://flagcdn.com/w320/lv.png,https://flagcdn.com/lv.svg,The flag of Latvia has a carmine-red field with a thin white horizontal band across the middle of the field.,https://mainfacts.com/media/images/coats_of_arms/lv.png,https://mainfacts.com/media/images/coats_of_arms/lv.svg
TJK,🇹🇯,https://flagcdn.com/w320/tj.png,https://flagcdn.com/tj.svg,"The flag of Tajikistan is composed of three horizontal bands of red, white and green in the ratio of 2:3:2. A golden-yellow crown surmounted by an arc of seven five-pointed golden-yellow stars is centered in the white band.",https://mainfacts.com/media/images/coats_of_arms/tj.png,https://mainfacts.com/media/images/coats_of_arms/tj.svg
GBR,🇬🇧,https://flagcdn.com/w320/gb.png,https://flagcdn.com/gb.svg,The flag of the United Kingdom — the Union Jack — has a blue field. It features the white-edged red cross of Saint George superimposed on the diagonal red cross of Saint Patrick which is superimposed on the diagonal white cross of Saint Andrew.,https://mainfacts.com/media/images/coats_of_arms/gb.png,https://mainfacts.com/media/images/coats_of_arms/gb.svg
NIC,🇳🇮,https://flagcdn.com/w320/ni.png,https://flagcdn.com/ni.svg,"The flag of Nicaragua is composed of three equal horizontal bands of blue, white and blue, with the national coat of arms centered in the white band.",https://mainfacts.com/media/images/coats_of_arms/ni.png,https://mainfacts.com/media/images/coats_of_arms/ni.svg
SDN,🇸🇩,https://flagcdn.com/w320/sd.png,https://flagcdn.com/sd.svg,"The flag of Sudan is composed of three equal horizontal bands of red, white and black, with a green isosceles triangle superimposed on the hoist side. The green triangle spans about two-fifth the width of the field with its base on the hoist end.",https://mainfacts.com/media/images/coats_of_arms/sd.png,https://mainfacts.com/media/images/coats_of_arms/sd.svg
